P;X;Y;W
1;645;7;745
2;720;867;745
3;513;499;745
4;208;766;745
5;976;884;745
6;991;864;745
7;696;804;745
8;655;676;745
9;840;976;745
10;718;867;745
11;456;818;745
12;901;808;745
13;380;423;745
14;668;533;745
15;939;794;745
16;311;824;745
17;906;961;745
18;899;692;745
19;227;898;745
20;646;431;745
21;886;633;745
22;468;400;745
23;867;887;745
24;720;871;745
25;585;832;745
26;746;892;745
27;990;681;745
28;333;883;745
29;675;773;745
30;145;637;745
31;939;680;745
32;852;885;745
33;520;96;745
34;603;554;745
35;677;836;745
36;214;793;745
37;480;576;745
38;986;924;745
39;392;482;745
40;872;974;745
41;644;517;745
42;888;795;745
43;622;5;745
44;999;958;745
45;415;509;745
46;910;946;745
47;150;945;745
48;719;760;745
49;695;188;745
50;420;387;745
51;720;832;745
52;714;926;745
53;697;759;745
54;659;869;745
55;192;793;745
56;645;19;745
57;592;992;745
58;764;778;745
59;839;680;745
60;468;397;745
61;77;793;745
62;729;74;745
63;299;814;745
64;571;343;745
65;717;25;745
66;989;846;745
67;971;861;745
68;448;338;745
69;194;768;745
70;929;831;745
71;845;841;745
72;687;867;745
73;963;616;745
74;464;498;745
75;141;809;745
76;547;542;745
77;945;847;745
78;627;445;745
79;504;497;745
80;101;705;745
81;849;606;745
82;766;919;745
83;492;399;745
84;621;919;745
85;555;935;745
86;123;778;745
87;971;877;745
88;58;537;745
89;938;801;745
90;789;869;745
91;870;838;745
92;953;865;745
93;204;709;745
94;693;551;745
95;816;941;745
96;690;852;745
97;689;61;745
98;787;873;745
99;931;944;745
100;996;833;745
101;560;369;745
102;580;108;745
103;630;3;745
104;170;733;745
105;631;885;745
106;603;891;745
107;794;859;745
108;724;324;745
109;278;823;745
110;589;379;745
111;994;810;745
112;641;885;745
113;948;839;745
114;692;610;745
115;970;813;745
116;813;35;745
117;402;685;745
118;738;668;745
119;703;958;745
120;453;511;745
121;412;458;745
122;259;729;745
123;912;918;745
124;770;940;745
125;930;978;745
126;854;942;745
127;909;831;745
128;587;581;745
129;813;824;745
130;208;668;745
131;222;800;745
132;978;848;745
133;455;622;745
134;696;876;745
135;756;719;745
136;550;544;745
137;872;85;745
138;825;100;745
139;503;468;745
140;571;325;745
141;251;719;745
142;689;913;745
143;492;16;745
144;446;402;745
145;614;60;745
146;500;144;745
147;469;435;745
148;171;802;745
149;237;542;745
150;516;491;745
151;550;958;745
152;598;690;745
153;193;835;745
154;567;576;745
155;747;781;745
156;530;102;745
157;496;518;745
158;210;827;745
159;779;754;745
160;226;781;745
161;722;772;745
162;655;831;745
163;639;360;745
164;880;871;745
165;786;17;745
166;449;521;745
167;717;794;745
168;786;907;745
169;505;383;745
170;677;883;745
171;705;778;745
172;536;495;745
173;923;981;745
174;913;861;745
175;684;47;745
176;580;474;745
177;165;445;745
178;481;45;745
179;243;773;745
180;206;793;745
181;240;653;745
182;989;973;745
183;676;184;745
184;782;780;745
185;976;919;745
186;949;912;745
187;204;768;745
188;652;8;745
189;636;854;745
190;632;5;745
191;753;830;745
192;894;901;745
193;883;814;745
194;564;508;745
195;876;903;745
196;305;703;745
197;865;852;745
198;514;380;745
199;701;54;745
200;343;924;745
201;721;920;745
202;490;458;745
203;534;592;745
204;259;778;745
205;474;652;745
206;193;899;745
207;177;722;745
208;270;754;745
209;284;335;745
210;967;750;745
211;485;462;745
212;644;779;745
213;461;532;745
214;611;509;745
215;564;75;745
216;364;519;745
217;517;18;745
218;998;838;745
219;949;850;745
220;928;822;745
221;601;533;745
222;923;783;745
223;102;799;745
224;726;914;745
225;834;244;745
226;239;755;745
227;838;831;745
228;866;934;745
229;630;73;745
230;793;816;745
231;949;878;745
232;72;589;745
233;436;525;745
234;541;524;745
235;543;471;745
236;588;198;745
237;640;38;745
238;440;626;745
239;178;630;745
240;721;822;745
241;528;881;745
242;705;976;745
243;653;366;745
244;981;905;745
245;679;929;745
246;793;937;745
247;335;676;745
248;212;772;745
249;896;799;745
250;233;776;745
251;902;891;745
252;1000;799;745
253;328;612;745
254;169;693;745
255;45;654;745
256;868;917;745
257;152;749;745
258;233;943;745
259;316;594;745
260;408;600;745
261;945;853;745
262;509;590;745
263;843;915;745
264;471;500;745
265;775;770;745
266;303;689;745
267;579;103;745
268;935;853;745
269;659;857;745
270;426;546;745
271;932;920;745
272;996;850;745
273;237;642;745
274;840;94;745
275;706;671;745
276;190;756;745
277;163;677;745
278;734;882;745
279;403;754;745
280;669;187;745
281;947;869;745
282;783;848;745
283;747;889;745
284;710;131;745
285;851;992;745
286;157;888;745
287;964;968;745
288;550;923;745
289;320;759;745
290;881;806;745
291;941;885;745
292;333;404;745
293;990;838;745
294;171;759;745
295;647;47;745
296;296;835;745
297;655;146;745
298;243;669;745
299;475;535;745
300;197;879;745
301;565;50;745
302;985;834;745
303;784;970;745
304;546;65;745
305;144;788;745
306;870;661;745
307;508;521;745
308;669;386;745
309;845;859;745
310;268;693;745
311;860;854;745
312;768;700;745
313;196;769;745
314;245;941;745
315;411;529;745
316;535;56;745
317;327;947;745
318;789;831;745
319;145;726;745
320;708;76;745
321;808;838;745
322;657;144;745
323;686;66;745
324;514;578;745
325;894;933;745
326;909;814;745
327;579;57;745
328;938;972;745
329;435;803;745
330;730;857;745
331;819;787;745
332;861;742;745
333;251;785;745
334;497;40;745
335;969;748;745
336;990;860;745
337;701;863;745
338;195;682;745
339;610;942;745
340;103;703;745
341;802;833;745
342;260;726;745
343;221;735;745
344;777;692;745
345;984;821;745
346;912;928;745
347;475;554;745
348;959;862;745
349;646;31;745
350;991;886;745
351;735;812;745
352;707;889;745
353;333;824;745
354;824;954;745
355;197;855;745
356;487;514;745
357;570;729;745
358;653;40;745
359;850;803;745
360;630;47;745
361;563;493;745
362;216;737;745
363;689;858;745
364;688;876;745
365;883;783;745
366;334;767;745
367;847;890;745
368;966;862;745
369;524;554;745
370;181;847;745
371;886;743;745
372;241;760;745
373;995;751;745
374;663;926;745
375;660;593;745
376;807;731;745
377;124;687;745
378;282;720;745
379;704;58;745
380;950;824;745
381;825;869;745
382;795;770;745
383;150;720;745
384;664;408;745
385;222;837;745
386;930;938;745
387;313;960;745
388;819;911;745
389;906;880;745
390;180;749;745
391;914;961;745
392;357;506;745
393;649;780;745
394;975;865;745
395;687;737;745
396;258;723;745
397;543;546;745
398;660;70;745
399;650;873;745
400;541;495;745
