P;X;Y;W
1;500;500;97
2;550;574;2
3;177;24;30
4;448;476;91
5;934;619;63
6;323;122;99
7;430;76;78
8;364;9;50
9;988;994;2
10;91;636;58
11;926;977;1
12;2;579;3
13;326;342;99
14;455;822;28
15;48;74;32
16;814;334;10
17;997;22;1
18;838;899;75
19;634;360;55
20;324;191;75
21;750;283;31
22;996;106;38
23;473;967;34
24;642;334;62
25;539;764;25
26;510;194;12
27;807;664;63
28;949;710;43
29;21;994;100
30;293;934;58
31;832;366;45
32;8;531;68
33;56;893;38
34;82;605;31
35;197;626;91
36;661;777;59
37;207;272;4
38;945;510;43
39;505;137;48
40;325;693;31
41;240;335;84
42;776;462;43
43;810;235;51
44;496;288;37
45;624;171;48
46;799;293;26
47;120;393;97
48;250;839;39
49;31;266;42
50;64;349;64
51;898;729;50
52;740;387;5
53;838;992;98
54;952;991;66
55;558;497;65
56;695;240;24
57;622;113;74
58;670;95;59
59;967;595;40
60;926;470;57
61;665;284;23
62;753;558;98
63;946;61;95
64;820;415;3
65;453;551;74
66;565;786;96
67;768;573;70
68;841;180;99
69;172;849;54
70;799;203;84
71;663;950;53
72;33;134;35
73;215;505;19
74;973;751;93
75;308;651;32
76;519;412;2
77;677;737;27
78;937;383;63
79;338;276;71
80;997;416;65
81;852;151;19
82;366;573;72
83;839;66;14
84;245;311;52
85;743;248;38
86;265;806;99
87;851;403;6
88;621;530;80
89;553;917;66
90;467;83;4
91;866;308;50
92;556;270;98
93;189;936;89
94;131;426;35
95;329;945;82
96;64;997;55
97;761;475;85
98;248;366;63
99;141;114;70
100;235;937;1
101;80;598;41
102;133;453;38
103;153;763;44
104;739;585;3
105;165;754;86
106;933;751;74
107;670;474;47
108;319;201;91
109;734;286;62
110;118;342;53
111;951;973;8
112;303;313;28
113;709;929;9
114;993;822;64
115;707;624;50
116;92;212;8
117;716;302;79
118;184;802;53
119;601;936;11
120;668;454;71
121;583;424;78
122;151;409;11
123;754;53;96
124;89;361;56
125;843;196;26
126;679;788;83
127;233;266;57
128;994;524;64
129;229;917;49
130;381;596;96
131;566;501;93
132;96;294;57
133;180;770;94
134;199;508;20
135;226;827;75
136;691;293;77
137;338;332;63
138;905;714;50
139;146;954;99
140;148;907;93
141;46;71;83
142;594;419;14
143;209;732;61
144;419;783;69
145;852;847;91
146;194;344;5
147;751;651;62
148;530;340;61
149;6;405;51
150;961;227;42
151;60;343;32
152;87;261;38
153;962;886;89
154;974;321;48
155;882;81;80
156;777;993;24
157;877;318;62
158;645;892;59
159;909;276;75
160;859;247;72
161;109;124;44
162;214;725;62
163;292;982;44
164;674;506;56
165;724;614;40
166;247;618;46
167;133;392;100
168;140;512;96
169;986;490;28
170;139;888;88
171;988;341;91
172;255;776;98
173;864;343;17
174;614;864;60
175;363;805;82
176;594;73;28
177;531;156;43
178;221;392;63
179;221;398;53
180;809;947;4
181;864;805;79
182;843;335;84
183;477;878;23
184;129;202;20
185;940;551;77
186;183;69;78
187;498;641;7
188;867;413;91
189;540;551;25
190;281;990;79
191;604;224;89
192;907;417;18
193;650;349;48
194;998;2;27
195;570;808;25
196;216;820;90
197;959;382;9
198;527;34;32
199;123;708;70
200;337;488;2
201;355;476;58
202;887;524;53
203;443;886;27
204;892;60;99
205;436;349;92
206;427;927;6
207;663;441;26
208;78;435;46
209;997;108;43
210;324;213;1
211;369;115;25
212;177;280;26
213;539;753;94
214;81;372;92
215;102;788;36
216;43;527;60
217;765;671;19
218;31;906;69
219;854;983;78
220;610;874;47
221;83;143;44
222;835;330;57
223;570;361;51
224;390;283;43
225;102;840;38
226;982;681;55
227;650;227;40
228;975;485;49
229;135;322;27
230;287;6;93
231;446;24;40
232;530;474;35
233;700;542;33
234;397;872;10
235;763;838;9
236;305;9;84
237;12;340;36
238;285;858;70
239;358;892;45
240;123;118;64
241;498;952;69
242;752;59;86
243;444;51;82
244;888;591;19
245;281;498;23
246;927;591;84
247;185;324;26
248;79;486;96
249;690;495;95
250;767;78;85
251;199;357;97
252;257;625;84
253;757;346;47
254;559;164;9
255;56;937;14
256;559;96;88
257;716;848;94
258;415;7;13
259;782;493;90
260;198;754;23
261;506;686;23
262;780;784;44
263;351;593;62
264;972;719;35
265;267;937;29
266;921;181;26
267;196;447;42
268;748;875;46
269;845;567;78
270;437;907;65
271;699;405;91
272;978;373;22
273;286;936;99
274;755;180;83
275;696;458;27
276;188;130;73
277;341;291;94
278;628;240;75
279;977;737;44
280;487;328;70
281;963;272;82
282;640;838;93
283;784;13;68
284;57;916;92
285;810;409;61
286;701;741;52
287;314;201;33
288;661;104;94
289;740;622;93
290;550;234;66
291;215;853;81
292;138;876;4
293;318;722;26
294;253;617;3
295;90;662;90
296;909;472;44
297;308;910;26
298;706;703;67
299;994;964;27
300;468;904;73
301;181;279;46
302;132;324;9
303;935;232;20
304;891;448;61
305;610;312;11
306;582;826;58
307;373;584;64
308;330;146;78
309;968;383;35
310;436;570;80
311;725;274;45
312;517;304;23
313;835;254;59
314;901;434;57
315;858;202;93
316;261;997;62
317;493;583;14
318;512;311;100
319;592;403;59
320;949;560;1
321;426;413;14
322;634;611;80
323;200;557;14
324;44;99;82
325;823;681;63
326;958;756;83
327;913;482;77
328;594;984;1
329;73;713;2
330;4;687;96
331;406;637;68
332;717;349;58
333;273;727;68
334;622;359;16
335;316;622;82
336;114;595;21
337;720;330;84
338;485;245;77
339;728;679;94
340;563;890;26
341;412;21;75
342;600;831;14
343;682;188;81
344;419;665;95
345;555;691;3
346;799;117;44
347;671;173;76
348;117;117;84
349;55;117;36
350;242;124;70
351;139;795;47
352;670;711;50
353;22;470;34
354;919;386;20
355;988;857;93
356;166;675;47
357;269;813;62
358;144;450;1
359;66;302;75
360;275;504;48
361;812;595;34
362;65;382;82
363;683;718;68
364;744;458;90
365;370;159;72
366;155;263;2
367;93;827;33
368;897;63;43
369;866;240;96
370;714;689;5
371;9;995;22
372;136;611;6
373;925;459;41
374;371;271;95
375;97;729;5
376;443;659;27
377;374;831;93
378;585;137;19
379;473;176;19
380;878;528;50
381;748;261;54
382;141;431;76
383;208;624;48
384;76;809;81
385;780;44;31
386;653;811;52
387;827;0;20
388;754;854;90
389;909;367;52
390;62;951;72
391;805;374;39
392;204;284;25
393;774;806;1
394;139;39;88
395;73;455;31
396;800;483;61
397;722;828;85
398;983;285;83
399;516;93;24
400;489;103;69
401;297;291;24
402;517;407;8
403;468;780;51
404;300;560;10
405;754;944;61
406;999;143;36
407;220;145;71
408;840;536;60
409;542;926;6
410;509;745;47
411;515;461;27
412;791;479;49
413;821;266;95
414;459;481;36
415;47;141;17
416;417;102;36
417;950;385;85
418;87;135;42
419;967;239;100
420;57;886;2
421;991;595;60
422;962;506;13
423;375;948;20
424;631;572;73
425;210;596;81
426;476;910;80
427;829;100;58
428;133;673;61
429;578;982;37
430;353;675;74
431;834;675;9
432;141;964;37
433;266;734;47
434;146;650;51
435;353;284;83
436;305;987;28
437;150;727;65
438;733;696;54
439;301;687;31
440;858;548;33
441;308;224;21
442;821;189;95
443;45;279;1
444;108;220;72
445;523;381;90
446;446;524;63
447;907;598;6
448;943;843;54
449;780;743;72
450;473;609;55
451;659;823;35
452;326;19;74
453;765;746;16
454;92;368;38
455;29;271;73
456;804;619;32
457;369;215;51
458;325;240;25
459;197;903;55
460;996;278;80
461;189;871;56
462;519;684;91
463;297;819;41
464;102;896;90
465;20;818;43
466;850;667;100
467;916;759;22
468;401;140;51
469;364;57;79
470;823;178;65
471;590;605;40
472;749;943;88
473;924;977;17
474;770;720;28
475;315;879;45
476;78;1;10
477;105;857;64
478;352;810;74
479;36;243;69
480;903;279;76
481;521;366;71
482;58;482;57
483;153;0;29
484;812;506;95
485;481;68;46
486;705;785;63
487;16;596;50
488;974;675;43
489;503;914;91
490;937;284;88
491;431;112;22
492;636;548;10
493;805;745;68
494;728;560;50
495;156;777;73
496;623;149;67
497;811;794;91
498;879;709;21
499;404;453;70
500;838;272;69
501;646;185;32
502;520;843;83
503;337;149;49
504;761;972;65
505;637;433;70
506;607;588;12
507;575;511;62
508;952;72;53
509;818;942;47
510;427;589;85
511;688;326;59
512;547;662;44
513;423;507;61
514;93;4;14
515;699;23;84
516;762;595;57
517;389;815;79
518;48;7;4
519;586;171;5
520;391;990;47
521;860;942;77
522;562;289;34
523;779;980;65
524;305;733;40
525;676;855;4
526;231;555;66
527;661;798;58
528;954;975;10
529;888;912;67
530;483;24;80
531;69;618;32
532;866;631;73
533;244;362;53
534;72;937;26
535;793;569;12
536;145;885;6
537;700;844;60
538;582;43;12
539;73;425;56
540;979;684;93
541;911;888;67
542;921;111;10
543;108;98;28
544;126;241;96
545;737;414;19
546;830;426;90
547;546;141;3
548;429;536;51
549;741;233;44
550;373;286;76
551;989;248;90
552;305;814;84
553;690;548;90
554;449;506;29
555;491;754;85
556;252;82;61
557;52;449;90
558;278;918;55
559;61;132;50
560;344;620;58
561;500;421;51
562;913;865;41
563;161;501;10
564;734;467;53
565;410;836;68
566;733;712;7
567;205;115;82
568;152;932;49
569;360;459;64
570;945;335;93
571;61;872;29
572;408;85;19
573;633;945;51
574;83;627;67
575;550;809;31
576;890;266;76
577;711;338;23
578;515;998;53
579;946;604;90
580;61;580;66
581;785;575;67
582;931;871;96
583;474;76;59
584;967;395;95
585;243;984;5
586;849;185;39
587;817;685;87
588;728;848;65
589;182;780;54
590;119;898;33
591;607;31;1
592;43;337;53
593;900;572;20
594;417;480;71
595;931;355;7
596;693;31;1
597;394;858;7
598;749;418;44
599;827;37;13
600;30;362;37
601;870;528;61
602;945;714;23
603;789;100;85
604;492;526;23
605;234;361;28
606;165;386;69
607;262;707;19
608;87;989;21
609;597;528;52
610;401;969;67
611;146;661;48
612;910;977;94
613;771;90;56
