P;X;Y;W
1;674;825;20
2;549;534;20
3;43;315;20
4;542;420;20
5;45;580;20
6;180;450;20
7;369;618;20
8;287;721;20
9;36;426;20
10;680;338;20
11;42;81;20
12;942;119;20
13;247;68;20
14;432;549;20
15;514;857;20
16;554;976;20
17;103;728;20
18;271;73;20
19;310;859;20
20;874;538;20
21;358;642;20
22;989;42;20
23;538;271;20
24;854;443;20
25;596;563;20
26;827;228;20
27;380;40;20
28;152;224;20
29;726;258;20
30;981;544;20
31;600;381;20
32;629;799;20
33;488;12;20
34;100;542;20
35;37;272;20
36;847;980;20
37;949;124;20
38;787;917;20
39;111;958;20
40;571;968;20
41;2;409;20
42;95;2;20
43;318;447;20
44;271;856;20
45;873;697;20
46;34;274;20
47;733;17;20
48;620;125;20
49;611;334;20
50;66;848;20
51;507;711;20
52;993;152;20
53;596;683;20
54;605;980;20
55;372;833;20
56;968;699;20
57;36;620;20
58;518;566;20
59;138;457;20
60;828;421;20
61;467;39;20
62;626;645;20
63;192;923;20
64;56;363;20
65;252;349;20
66;202;896;20
67;999;331;20
68;843;462;20
69;83;975;20
70;475;135;20
71;601;55;20
72;578;43;20
73;480;854;20
74;124;825;20
75;121;228;20
76;355;326;20
77;291;944;20
78;784;563;20
79;260;251;20
80;472;918;20
81;193;715;20
82;539;592;20
83;794;290;20
84;930;315;20
85;190;654;20
86;429;292;20
87;79;779;20
88;931;409;20
89;114;765;20
90;948;685;20
91;550;915;20
92;383;979;20
93;127;64;20
94;541;935;20
95;218;159;20
96;396;194;20
97;216;85;20
98;106;843;20
99;174;744;20
100;782;117;20
101;699;379;20
102;497;355;20
103;87;161;20
104;558;199;20
105;721;10;20
106;18;53;20
107;704;674;20
108;443;783;20
109;755;58;20
110;928;666;20
111;347;805;20
112;360;600;20
113;101;119;20
114;938;556;20
115;422;848;20
116;934;275;20
117;391;807;20
118;712;230;20
119;908;359;20
120;992;823;20
121;80;246;20
122;367;837;20
123;865;661;20
124;67;146;20
125;956;582;20
126;977;663;20
127;930;343;20
128;896;542;20
129;631;472;20
130;62;636;20
131;817;759;20
132;914;195;20
133;46;591;20
134;102;825;20
135;822;527;20
136;763;684;20
137;975;128;20
138;26;941;20
139;314;34;20
140;787;474;20
141;512;291;20
142;718;832;20
143;244;931;20
144;534;425;20
145;585;799;20
146;513;990;20
147;641;633;20
148;254;283;20
149;448;389;20
150;702;44;20
151;109;823;20
152;402;190;20
153;184;314;20
154;26;270;20
155;333;949;20
156;132;174;20
157;203;842;20
158;182;78;20
159;575;723;20
160;807;656;20
161;745;757;20
162;320;523;20
163;175;626;20
164;488;947;20
165;376;858;20
166;540;797;20
167;52;401;20
168;441;748;20
169;491;459;20
170;398;734;20
171;202;560;20
172;636;652;20
173;813;892;20
174;403;311;20
175;201;878;20
176;245;641;20
177;894;2;20
178;515;142;20
179;701;895;20
180;143;590;20
181;612;652;20
182;650;986;20
183;932;420;20
184;410;762;20
185;676;219;20
186;174;236;20
187;204;25;20
188;828;312;20
189;120;96;20
190;409;434;20
191;405;549;20
192;379;787;20
193;810;191;20
194;129;755;20
195;499;596;20
196;754;620;20
197;937;430;20
198;61;519;20
199;29;34;20
200;843;640;20
201;520;251;20
202;385;685;20
203;619;501;20
204;239;564;20
205;908;111;20
206;234;353;20
207;467;896;20
208;742;499;20
209;277;981;20
210;194;265;20
211;851;885;20
212;850;444;20
213;131;847;20
214;806;302;20
215;627;401;20
216;267;788;20
217;805;211;20
218;61;985;20
219;729;142;20
220;402;812;20
221;956;593;20
222;907;977;20
223;670;71;20
224;863;184;20
225;74;25;20
226;741;581;20
227;38;919;20
228;963;467;20
229;979;558;20
230;916;241;20
231;4;676;20
232;217;612;20
233;311;756;20
234;235;42;20
235;815;106;20
236;848;461;20
237;46;198;20
238;460;210;20
239;293;234;20
240;274;248;20
241;986;983;20
242;800;608;20
243;342;852;20
244;623;95;20
245;258;221;20
246;420;244;20
247;444;16;20
248;223;518;20
249;821;540;20
250;939;766;20
251;157;549;20
252;106;921;20
253;961;583;20
254;925;959;20
255;619;540;20
256;507;97;20
257;790;509;20
258;404;252;20
259;44;843;20
260;363;737;20
261;752;492;20
262;352;216;20
263;226;577;20
264;817;913;20
265;115;221;20
266;200;58;20
267;38;628;20
268;711;595;20
269;479;404;20
270;332;129;20
271;929;145;20
272;93;139;20
273;269;260;20
274;583;421;20
275;424;47;20
276;715;796;20
277;240;26;20
278;743;62;20
279;633;515;20
280;528;202;20
281;976;456;20
282;54;828;20
283;739;497;20
284;191;890;20
285;384;316;20
286;713;629;20
287;502;205;20
288;563;779;20
289;205;892;20
290;368;18;20
291;766;621;20
292;207;679;20
293;506;481;20
294;622;691;20
295;946;987;20
296;890;793;20
297;182;900;20
298;530;981;20
299;540;313;20
300;78;213;20
301;456;978;20
302;99;363;20
303;623;878;20
304;448;422;20
305;379;61;20
306;792;953;20
307;347;720;20
308;373;793;20
309;330;512;20
310;22;7;20
311;445;147;20
312;431;90;20
313;517;208;20
314;659;423;20
315;724;233;20
316;906;970;20
317;476;43;20
318;522;237;20
319;571;317;20
320;280;476;20
321;571;424;20
322;885;129;20
323;452;500;20
324;743;544;20
325;493;777;20
326;976;918;20
327;412;154;20
328;686;502;20
329;762;39;20
330;473;60;20
331;570;414;20
332;201;567;20
333;226;169;20
334;12;159;20
335;627;681;20
336;589;346;20
337;563;637;20
338;678;455;20
339;361;119;20
340;849;338;20
341;776;929;20
342;511;327;20
343;128;163;20
344;183;433;20
345;697;48;20
346;3;800;20
347;361;10;20
348;499;410;20
349;601;34;20
350;73;124;20
351;908;439;20
352;136;356;20
353;203;835;20
354;355;733;20
355;221;582;20
356;961;627;20
357;661;144;20
358;875;331;20
359;455;290;20
360;104;892;20
361;281;548;20
362;378;180;20
363;329;906;20
364;41;229;20
365;320;770;20
366;191;805;20
367;767;162;20
368;72;237;20
369;491;176;20
370;716;497;20
371;391;682;20
372;828;526;20
373;457;274;20
374;934;814;20
375;33;480;20
376;765;225;20
377;337;209;20
378;903;78;20
379;223;461;20
380;668;475;20
381;201;270;20
382;261;879;20
383;697;920;20
384;152;937;20
385;573;385;20
386;724;568;20
387;892;43;20
388;159;283;20
389;931;623;20
390;585;768;20
391;449;408;20
392;459;705;20
393;203;692;20
394;215;862;20
395;712;480;20
396;150;407;20
397;274;443;20
398;565;501;20
399;230;119;20
400;157;111;20
401;481;368;20
402;662;102;20
403;252;72;20
404;737;554;20
405;111;96;20
406;110;348;20
407;232;480;20
408;970;989;20
409;910;901;20
410;598;686;20
411;327;371;20
412;267;682;20
413;571;194;20
414;383;829;20
415;897;166;20
416;869;417;20
417;244;30;20
418;809;255;20
419;4;177;20
420;340;996;20
421;32;602;20
422;793;712;20
423;916;104;20
424;77;731;20
425;489;744;20
426;330;707;20
427;600;540;20
428;803;954;20
429;123;430;20
430;998;17;20
431;229;468;20
432;67;511;20
433;897;279;20
434;448;185;20
435;680;762;20
436;752;263;20
437;724;44;20
438;911;15;20
439;29;685;20
440;563;589;20
441;972;125;20
442;696;82;20
443;61;393;20
444;536;881;20
445;963;57;20
446;690;225;20
447;759;430;20
448;535;47;20
449;468;19;20
450;860;45;20
451;810;233;20
452;753;13;20
453;217;331;20
454;747;415;20
455;106;630;20
456;207;218;20
457;389;952;20
458;974;969;20
459;242;335;20
460;249;118;20
461;118;982;20
462;741;606;20
463;15;459;20
464;52;684;20
465;990;159;20
466;325;995;20
467;926;999;20
468;123;903;20
469;544;369;20
470;582;67;20
471;676;344;20
472;793;276;20
473;774;131;20
474;447;520;20
475;675;775;20
476;723;323;20
477;624;108;20
478;431;317;20
479;531;961;20
480;401;76;20
481;493;604;20
482;125;188;20
483;558;463;20
484;646;587;20
485;736;62;20
486;698;127;20
487;270;234;20
488;100;418;20
489;154;568;20
490;396;895;20
491;890;116;20
492;740;150;20
493;509;345;20
494;42;516;20
495;837;341;20
496;363;882;20
497;9;260;20
498;543;783;20
499;238;33;20
500;101;723;20
501;823;319;20
502;376;753;20
503;421;707;20
504;912;300;20
505;564;169;20
506;101;247;20
507;418;767;20
508;79;258;20
509;806;598;20
510;857;357;20
511;465;7;20
512;718;756;20
513;571;33;20
514;858;934;20
515;498;115;20
516;270;966;20
517;837;44;20
518;897;98;20
519;659;168;20
520;6;579;20
521;33;841;20
522;846;736;20
523;792;131;20
524;524;301;20
525;545;773;20
526;154;997;20
527;945;365;20
528;248;354;20
529;206;831;20
530;351;798;20
531;868;116;20
532;936;974;20
533;809;145;20
534;542;321;20
535;515;23;20
536;167;912;20
537;594;490;20
538;910;515;20
539;542;619;20
540;855;937;20
541;758;776;20
542;217;592;20
543;810;821;20
544;735;333;20
545;950;557;20
546;305;532;20
547;880;441;20
548;877;400;20
549;771;528;20
550;592;578;20
551;520;681;20
552;175;953;20
553;276;21;20
554;574;742;20
555;199;633;20
556;852;821;20
557;476;514;20
558;326;299;20
559;589;781;20
560;960;350;20
561;830;120;20
562;0;291;20
563;65;496;20
564;877;905;20
565;753;97;20
566;329;24;20
567;207;545;20
568;811;359;20
569;113;342;20
570;120;573;20
571;295;581;20
572;298;609;20
573;731;893;20
574;763;273;20
575;816;651;20
576;702;61;20
577;880;426;20
578;719;232;20
579;955;689;20
580;715;141;20
581;788;762;20
582;34;817;20
583;105;22;20
584;857;788;20
585;134;359;20
586;831;163;20
587;361;870;20
588;975;958;20
589;553;819;20
590;807;673;20
591;19;838;20
592;746;121;20
593;130;380;20
594;741;511;20
595;80;424;20
596;173;767;20
597;906;426;20
598;990;111;20
599;748;520;20
600;92;895;20
601;371;978;20
602;986;670;20
603;929;905;20
604;661;524;20
605;974;197;20
606;742;652;20
607;732;747;20
608;870;188;20
609;612;890;20
610;348;284;20
611;973;109;20
612;34;437;20
613;137;997;20
614;474;63;20
615;665;444;20
616;300;335;20
617;856;104;20
618;866;249;20
619;528;91;20
620;140;964;20
621;25;937;20
622;848;367;20
623;486;786;20
624;857;918;20
625;357;860;20
626;823;709;20
627;162;150;20
628;77;809;20
629;516;380;20
630;772;832;20
631;387;199;20
632;261;767;20
633;619;645;20
634;754;57;20
635;692;838;20
636;193;932;20
637;738;941;20
638;406;976;20
639;811;360;20
640;487;965;20
641;396;197;20
642;444;940;20
643;182;954;20
644;85;539;20
645;70;483;20
646;161;570;20
647;447;194;20
648;757;845;20
649;692;506;20
650;930;251;20
651;950;549;20
652;601;86;20
653;143;117;20
654;698;634;20
655;238;877;20
656;543;987;20
657;761;809;20
658;494;134;20
659;562;925;20
660;838;282;20
661;834;210;20
662;926;436;20
663;375;833;20
664;568;225;20
665;106;594;20
666;675;986;20
667;835;632;20
668;144;83;20
669;272;373;20
670;4;496;20
671;299;740;20
672;805;641;20
673;482;600;20
674;255;448;20
675;834;470;20
676;117;696;20
677;837;469;20
678;345;585;20
679;703;523;20
680;476;565;20
681;893;816;20
682;271;417;20
683;877;492;20
684;605;578;20
685;156;613;20
686;607;721;20
687;527;358;20
688;54;581;20
689;591;478;20
690;7;37;20
691;529;997;20
692;705;436;20
693;110;166;20
694;702;173;20
695;962;671;20
696;262;521;20
697;82;75;20
698;1000;703;20
699;607;536;20
700;764;227;20
701;827;744;20
702;788;463;20
703;450;136;20
704;72;466;20
705;119;348;20
706;32;58;20
707;178;910;20
708;381;159;20
709;686;207;20
710;276;358;20
711;683;682;20
712;708;748;20
713;707;282;20
714;141;999;20
715;558;169;20
716;403;688;20
717;315;671;20
718;827;880;20
719;601;481;20
720;641;950;20
721;98;116;20
722;611;668;20
723;313;616;20
724;928;521;20
725;595;498;20
726;350;295;20
727;397;963;20
728;595;904;20
729;798;339;20
730;978;460;20
731;260;800;20
732;302;615;20
733;653;302;20
734;5;126;20
735;512;800;20
736;541;691;20
737;559;690;20
738;24;21;20
739;465;522;20
740;125;178;20
741;868;947;20
742;204;141;20
743;636;919;20
744;703;643;20
745;385;155;20
746;790;245;20
747;244;833;20
748;244;666;20
749;870;543;20
750;606;359;20
751;712;497;20
752;553;343;20
753;532;975;20
754;555;276;20
755;165;33;20
756;757;787;20
757;537;457;20
758;120;51;20
759;932;958;20
760;815;623;20
761;502;636;20
762;859;508;20
763;42;675;20
764;10;496;20
765;999;300;20
766;908;736;20
767;735;980;20
768;459;564;20
769;49;877;20
770;483;587;20
771;945;557;20
772;602;2;20
773;633;936;20
774;379;182;20
775;814;486;20
776;710;500;20
777;178;687;20
778;466;406;20
779;186;732;20
780;381;762;20
781;69;478;20
782;193;411;20
783;109;653;20
784;40;10;20
785;142;303;20
786;90;111;20
787;334;499;20
788;443;482;20
789;187;290;20
790;262;691;20
791;814;908;20
792;171;930;20
793;446;214;20
794;893;96;20
795;205;410;20
796;137;120;20
797;115;986;20
798;745;541;20
799;368;926;20
800;77;338;20
