P;X;Y;W
1;957;135;83
2;149;141;52
3;1;96;73
4;228;268;70
5;781;529;86
6;867;797;51
7;109;53;74
8;13;449;84
9;133;293;52
10;259;172;93
11;908;678;91
12;930;867;89
13;903;766;64
14;143;263;75
15;735;501;64
16;259;253;61
17;59;62;2
18;737;464;86
19;925;587;95
20;16;404;100
21;893;720;73
22;131;188;61
23;226;228;83
24;285;68;60
25;113;323;85
26;67;307;48
27;797;381;66
28;804;573;70
29;892;838;91
30;307;141;54
31;40;347;55
32;933;708;64
33;906;725;56
34;242;231;62
35;310;255;89
36;183;308;100
37;57;153;96
38;122;254;67
39;1;437;21
40;83;548;15
41;872;427;55
42;118;317;58
43;100;402;84
44;54;335;85
45;180;118;91
46;875;774;55
47;792;774;79
48;92;166;79
49;890;821;82
50;184;6;91
51;189;299;89
52;230;234;22
53;61;728;31
54;147;501;85
55;180;371;22
56;756;455;72
57;121;248;59
58;747;756;95
59;890;825;99
60;275;63;98
61;67;131;54
62;96;15;96
63;709;611;69
64;893;822;97
65;121;170;67
66;770;580;80
67;122;320;65
68;695;626;86
69;712;670;90
70;101;98;72
71;824;813;69
72;256;265;80
73;726;553;72
74;248;359;62
75;864;742;78
76;149;74;24
77;872;329;88
78;847;817;70
79;864;575;71
80;976;818;76
81;193;126;93
82;79;88;64
83;97;403;80
84;284;424;91
85;907;842;75
86;808;590;81
87;146;120;79
88;66;480;71
89;824;634;51
90;9;421;65
91;152;157;68
92;318;223;39
93;853;307;69
94;184;277;55
95;268;379;100
96;183;236;98
97;93;217;87
98;207;439;55
99;280;417;79
100;80;110;68
101;20;67;99
102;142;384;52
103;165;63;99
104;62;410;85
105;176;261;77
106;223;301;51
107;830;608;55
108;7;164;54
109;188;108;70
110;770;537;88
111;168;99;9
112;641;321;91
113;174;165;65
114;886;816;67
115;53;303;93
116;216;377;70
117;214;261;73
118;104;44;98
119;393;114;64
120;222;51;68
121;261;355;100
122;894;577;66
123;35;285;8
124;93;509;98
125;127;150;15
126;873;468;71
127;60;105;92
128;133;232;72
129;147;252;76
130;778;547;76
131;227;403;93
132;46;419;97
133;82;381;79
134;83;80;99
135;43;466;58
136;246;330;84
137;337;216;82
138;83;205;86
139;9;55;77
140;127;123;75
141;121;449;59
142;72;189;24
143;771;491;69
144;73;201;95
145;181;188;83
146;727;549;53
147;26;332;56
148;221;419;57
149;17;212;67
150;59;359;62
151;798;525;62
152;714;613;91
153;91;419;60
154;229;353;71
155;875;568;68
156;241;285;84
157;236;368;64
158;45;86;71
159;446;310;82
160;128;366;59
161;163;168;72
162;322;272;95
163;958;864;63
164;754;814;94
165;136;184;92
166;111;119;98
167;120;300;14
168;686;372;85
169;32;68;52
170;224;70;85
171;113;76;96
172;228;73;62
173;216;34;76
174;218;360;72
175;157;167;94
176;58;242;52
177;84;263;51
178;330;253;54
179;903;822;96
180;900;858;96
181;270;381;82
182;15;37;10
183;79;523;54
184;207;329;82
185;130;274;58
186;870;860;28
187;791;305;37
188;13;535;90
189;800;823;91
190;224;244;95
191;580;504;89
192;88;389;88
193;3;172;100
194;62;499;87
195;791;692;66
196;186;373;88
197;300;26;74
198;52;204;70
199;163;305;80
200;135;270;70
